f1,f2,class
1.414427,-2.808,1
0.779313,-1.841647,1
-1.612886,0.616446,1
-2.401574,2.505981,1
-3.6947,0.52637,1
1.644349,1.791449,1
-2.182001,0.62106,1
-1.933958,1.128939,1
-0.790516,0.178332,1
-1.941273,0.825798,1
0.859905,-5.845321,1
-1.467535,-0.187934,1
-4.378121,1.936766,1
1.315771,-6.269409,1
-1.25697,0.608233,1
-2.466673,-0.938456,1
-0.207555,0.936721,1
-1.329218,0.66283,1
3.189759,1.763184,1
0.00019,0.893106,1
5.087219,0.646089,1
-1.589855,-1.158275,1
0.90276,-1.814096,1
-0.260754,-1.079233,1
-1.165777,-0.189604,1
-1.223355,1.106251,1
-2.157172,-1.52704,1
-0.996199,-0.050961,1
4.452244,-0.273299,1
-0.417667,-0.766208,1
-3.448321,0.592714,1
-0.179702,0.580293,1
0.334371,-1.193068,1
-1.076034,1.850117,1
4.741953,1.957313,1
-2.431603,-0.80558,1
6.151644,1.409957,1
-0.155489,0.991901,1
4.329844,0.065124,1
0.59397,3.201287,1
-3.148929,3.212589,1
-1.174433,1.175279,1
-1.519483,-0.124995,1
-3.425903,2.117915,1
-1.231861,-1.427522,1
-3.445334,3.079794,1
1.538011,-5.693545,1
5.299461,0.424864,1
0.2281,1.618301,1
-2.726759,0.88592,1
-0.804571,1.702659,1
-1.385163,1.427675,1
0.443673,0.554089,1
-0.980993,1.279318,1
-0.292435,0.834873,1
-0.254337,0.358511,1
-1.112966,1.03331,1
-2.386264,3.266478,1
-3.61014,1.654365,1
-1.703831,1.857321,1
-1.999339,1.706182,1
-2.978448,0.209612,1
1.926986,-0.371465,1
0.283283,1.176858,1
-0.932926,1.861725,1
-1.899185,-2.061153,1
0.496389,-0.852462,1
3.634932,-2.17393,1
1.441368,-1.202782,1
1.477495,-1.63829,1
-1.308005,1.596486,1
-1.8055,2.800334,1
-2.276101,0.634556,1
-1.275966,1.405513,1
-1.374504,-0.006856,1
-1.796179,-0.14609,1
-1.378469,1.753724,1
-2.419613,2.450673,1
-1.04622,2.627564,1
-1.452877,1.423506,1
4.612354,2.051795,1
-1.779995,0.518086,1
-0.157326,1.178126,1
1.097458,1.272335,1
-0.512004,0.62384,1
4.169841,-0.104287,1
-1.227343,0.674234,1
-1.11499,-1.583055,1
0.404277,-0.930847,1
1.439309,-2.553469,1
1.408159,-1.508939,1
-1.597843,0.650729,1
-2.309542,1.712675,1
-3.452184,0.540086,1
1.208628,0.704516,1
-1.929762,0.618734,1
-2.091929,0.98778,1
-0.698751,0.407909,1
-1.987088,0.721363,1
1.512524,-5.813525,1
-1.353246,-0.078197,1
-3.818392,2.079727,1
1.122617,-4.309964,1
-1.228509,0.623104,1
-1.58676,-0.337342,1
-0.199063,0.971898,1
-1.259938,0.82817,1
4.282406,1.970195,1
-0.124864,0.889896,1
5.119744,0.488892,1
-1.407497,-1.334448,1
1.162295,-1.753117,1
0.090887,-1.111563,1
-1.179837,-0.170057,1
-1.152443,1.080478,1
-1.675156,-1.396562,1
-1.122627,-0.052294,1
4.924824,0.115816,1
-0.979203,-0.148765,1
-3.591813,0.639111,1
-0.21788,0.656445,1
0.369889,-1.667422,1
-1.221496,1.737769,1
3.83187,1.847185,1
-2.247618,-0.126765,1
5.698947,0.459351,1
-0.195981,0.97996,1
4.332839,-0.087508,1
-0.286609,3.025713,1
-3.349335,3.117565,1
-1.118136,1.072319,1
-1.182482,-0.116815,1
-2.855477,1.751982,1
-1.457541,-1.17742,1
-3.487518,2.735787,1
1.528637,-5.91158,1
5.109226,0.489532,1
0.054402,1.596495,1
-2.257996,0.637568,1
-1.006225,1.623692,1
-1.400567,1.398435,1
0.136471,0.763659,1
-0.988932,1.232533,1
-0.200045,1.082351,1
-0.269311,0.219468,1
-1.270465,1.404219,1
-2.202147,2.917317,1
-3.406861,1.636365,1
-1.416949,1.841899,1
-1.93917,1.288402,1
-2.967121,0.693059,1
1.727055,-1.422539,1
0.258397,1.391645,1
-0.95536,1.433784,1
-2.227966,-1.475782,1
0.441914,-0.80278,1
3.520409,-2.236907,1
1.442538,-1.494479,1
1.19654,-1.812469,1
-1.310291,1.476942,1
-1.758782,1.990253,1
-2.156689,0.747342,1
-1.258187,1.155989,1
